lead_id,campaign_id,created_date,stage,deal_value_zar,closed_date
LD000132,CMP0001,2026-05-10,NEW ,,
LD000133,CMP0001,2026-05-10,LOST,,2026-05-18
LD000134,CMP0001,2026-05-13,proposal ,,
LD000135,CMP0001,2026-05-13,Qualified,,
LD000136,CMP0001,2026-05-15,lost,,2026-06-27
LD000137,CMP0001,2026-05-15,Qualified,,
LD000138,CMP0001,2026-05-15,new,,
LD000139,CMP0001,2026-05-16,NEW ,,
LD000140,CMP0001,2026-05-17,Proposal,,
LD000141,CMP0001,2026-05-17,New,,
LD000142,CMP0001,2026-05-19,Won,1547100.0,2026-07-09
LD000143,CMP0001,2026-05-19,NEW ,,
LD000144,CMP0001,2026-05-20,Lost,,2026-06-15
LD000145,CMP0001,2026-05-20,Proposal,,
LD000146,CMP0001,2026-05-20,NEW ,,
LD000147,CMP0001,2026-05-20,proposal ,,
LD000148,CMP0001,2026-05-21,qualified,,
LD000149,CMP0001,2026-05-21,LOST,,2026-06-02
LD000150,CMP0001,2026-05-21,LOST,,2026-06-28
LD000151,CMP0001,2026-05-22,qualified,,
LD000152,CMP0001,2026-05-22,LOST,,2026-06-16
LD000153,CMP0001,2026-05-24,qualified,,
LD000154,CMP0001,2026-05-25,NEW ,,
LD000155,CMP0001,2026-05-26,Proposal,,
LD000156,CMP0001,2026-05-26,lost,,2026-07-02
LD000157,CMP0001,2026-05-26,LOST,,2026-06-16
LD000158,CMP0001,2026-05-27,New,,
LD000159,CMP0001,2026-05-27,new,,
LD000160,CMP0001,2026-05-27,qualified,,
LD000161,CMP0001,2026-05-27,new,,
LD000162,CMP0001,2026-05-28,LOST,,2026-06-11
LD000163,CMP0001,2026-05-30,Lost,,2026-06-17
LD000164,CMP0001,2026-05-31,new,,
LD000165,CMP0001,2026-06-01,LOST,,2026-06-19
LD000166,CMP0001,2026-06-03,qualified,,
LD000167,CMP0001,2026-06-04,lost,,2026-06-28
LD000168,CMP0001,2026-06-04,Lost,,2026-06-16
LD000169,CMP0001,2026-06-06,new,,
LD000170,CMP0001,2026-06-06,lost,,2026-07-13
LD000171,CMP0001,2026-06-06,new,,
LD000172,CMP0001,2026-06-06,New,,
LD000173,CMP0001,2026-06-07,qualified,,
LD000174,CMP0001,2026-06-08,proposal ,,
LD000175,CMP0001,2026-06-08,new,,
LD000176,CMP0001,2026-06-08,qualified,,
LD000177,CMP0001,2026-06-09,new,,
LD000178,CMP0001,2026-06-10,qualified,,
LD000179,CMP0001,2026-06-10,NEW ,,
LD000180,CMP0001,2026-06-10,Lost,,2026-07-11
LD000181,CMP0001,2026-06-10,Lost,,2026-07-16
LD000182,CMP0001,2026-06-12,proposal ,,
LD000183,CMP0001,2026-06-12,LOST,,2026-06-28
LD000184,CMP0001,2026-06-13,NEW ,,
LD000185,CMP0001,2026-06-16,NEW ,,
LD000186,CMP0001,2026-06-17,Lost,,2026-07-14
LD000187,CMP0001,2026-06-17,lost,,2026-07-10
LD000188,CMP0001,2026-06-17,lost,,2026-07-08
LD000189,CMP0001,2026-06-18,NEW ,,
LD000190,CMP0001,2026-06-18,new,,
LD000191,CMP0001,2026-06-18,LOST,,2026-06-26
LD000192,CMP0001,2026-06-19,lost,,2026-07-18
LD000193,CMP0001,2026-06-19,Qualified,,
LD000194,CMP0001,2026-06-20,qualified,,
LD000195,CMP0001,2026-06-21,New,,
LD000196,CMP0001,2026-06-21,LOST,,2026-07-04
LD000197,CMP0001,2026-06-22,Qualified,,
LD000198,CMP0001,2026-06-24,New,,
LD000199,CMP0001,2026-06-24,Won ,874500.0,2026-07-19
LD000200,CMP0001,2026-06-24,NEW ,,
LD000201,CMP0001,2026-06-26,LOST,,2026-08-03
LD000202,CMP0001,2026-06-27,Qualified,,
LD000203,CMP0001,2026-06-27,New,,
LD000204,CMP0001,2026-06-29,Lost,,2026-08-01
LD000205,CMP0001,2026-07-01,new,,
LD000206,CMP0001,2026-07-01,LOST,,2026-08-04
LD000207,CMP0001,2026-07-02,lost,,2026-07-11
LD000208,CMP0001,2026-07-03,qualified,,
LD000209,CMP0001,2026-07-04,qualified,,
LD000210,CMP0001,2026-07-07,qualified,,
LD000211,CMP0001,2026-07-07,New,,
LD000212,CMP0001,2026-07-07,Qualified,,
LD000213,CMP0001,2026-07-08,New,,
LD000214,CMP0001,2026-07-08,New,,
LD000215,CMP0001,2026-07-09,qualified,,
LD000216,CMP0001,2026-07-10,qualified,,
LD000217,CMP0001,2026-07-11,new,,
LD000218,CMP0001,2026-07-12,new,,
LD000219,CMP0001,2026-07-13,qualified,,
LD000220,CMP0001,2026-07-14,New,,
LD000221,CMP0001,2026-07-15,Qualified,,
LD000222,CMP0001,2026-07-15,Qualified,,
LD000223,CMP0001,2026-07-16,qualified,,
LD000224,CMP0001,2026-07-16,qualified,,
LD000225,CMP0001,2026-07-16,Qualified,,
LD000226,CMP0001,2026-07-16,Qualified,,
LD000227,CMP0001,2026-07-17,New,,
LD000228,CMP0001,2026-07-17,new,,
LD000229,CMP0001,2026-07-17,NEW ,,
LD000230,CMP0001,2026-07-18,qualified,,
LD000231,CMP0001,2026-07-18,qualified,,
LD000232,CMP0001,2026-07-19,New,,
LD000233,CMP0001,2026-07-21,NEW ,,
LD000234,CMP0001,2026-07-21,NEW ,,
LD000235,CMP0001,2026-07-22,new,,
LD000236,CMP0001,2026-07-22,New,,
LD000237,CMP0001,2026-07-23,qualified,,
LD000238,CMP0001,2026-07-24,Qualified,,
LD000239,CMP0001,2026-07-25,NEW ,,
LD000240,CMP0001,2026-07-28,qualified,,
LD000241,CMP0001,2026-07-29,New,,
LD000242,CMP0001,2026-07-30,qualified,,
LD000243,CMP0001,2026-07-30,qualified,,
LD000244,CMP0001,2026-07-30,New,,
LD000245,CMP0001,2026-07-31,Qualified,,
LD000246,CMP0001,2026-08-02,NEW ,,
LD000247,CMP0001,2026-08-03,Qualified,,
LD000248,CMP0001,2026-08-04,NEW ,,
LD000249,CMP0001,2026-08-05,New,,
LD000250,CMP0001,2026-08-05,proposal ,,
LD000251,CMP0001,2026-08-06,New,,
LD000252,CMP0001,2026-08-06,Qualified,,
LD000253,CMP0001,2026-08-07,qualified,,
LD000254,CMP0001,2026-08-07,new,,
LD000255,CMP0001,2026-08-07,new,,
LD000256,CMP0001,2026-08-07,Qualified,,
LD000257,CMP0001,2026-08-08,Qualified,,
LD000258,CMP0001,2026-08-08,qualified,,
LD000259,CMP0001,2026-08-08,qualified,,
LD000260,CMP0001,2026-08-10,Qualified,,
LD000261,CMP0001,2026-08-10,qualified,,
LD000262,CMP0001,2026-08-11,Proposal,,
LD000263,CMP0001,2026-08-12,NEW ,,
LD000264,CMP0001,2026-08-12,new,,
LD000265,CMP0001,2026-08-13,New,,
LD000266,CMP0001,2026-08-13,Qualified,,
LD000267,CMP0001,2026-08-14,New,,
LD000268,CMP0001,2026-08-14,qualified,,
LD000269,CMP0001,2026-08-14,Qualified,,
LD000270,CMP0001,2026-08-14,New,,
LD000271,CMP0001,2026-08-15,Qualified,,
LD000272,CMP0002,2026-04-04,lost,,2026-04-19
LD000273,CMP0002,2026-04-05,new,,
LD000274,CMP0002,2026-04-07,new,,
LD000275,CMP0002,2026-04-10,LOST,,2026-04-18
LD000276,CMP0002,2026-04-10,lost,,2026-04-27
LD000277,CMP0002,2026-04-11,lost,,2026-05-07
LD000278,CMP0002,2026-04-13,Qualified,,
LD000279,CMP0002,2026-04-13,lost,,2026-05-16
LD000280,CMP0002,2026-04-14,proposal ,,
LD000281,CMP0002,2026-04-15,Proposal,,
LD000282,CMP0002,2026-04-16,qualified,,
LD000283,CMP0002,2026-04-24,qualified,,
LD000284,CMP0002,2026-04-25,qualified,,
LD000285,CMP0002,2026-04-28,Lost,,2026-05-19
LD000286,CMP0002,2026-04-29,lost,,2026-06-06
LD000287,CMP0002,2026-04-30,qualified,,
LD000288,CMP0002,2026-05-03,qualified,,
LD000289,CMP0002,2026-05-07,new,,
LD000290,CMP0002,2026-05-10,LOST,,2026-05-24
LD000291,CMP0002,2026-05-11,NEW ,,
LD000292,CMP0002,2026-05-12,New,,
LD000293,CMP0002,2026-05-12,Proposal,,
LD000294,CMP0002,2026-05-12,Lost,,2026-06-23
LD000295,CMP0002,2026-05-13,Proposal,,
LD000296,CMP0002,2026-05-14,New,,
LD000297,CMP0002,2026-05-18,Qualified,,
LD000298,CMP0002,2026-05-19,LOST,,2026-06-07
LD000299,CMP0002,2026-05-20,lost,,2026-06-02
LD000300,CMP0002,2026-05-21,NEW ,,
LD000301,CMP0002,2026-05-23,Qualified,,
LD000302,CMP0002,2026-05-24,Qualified,,
LD000303,CMP0002,2026-05-27,qualified,,
LD000304,CMP0002,2026-05-30,new,,
LD000305,CMP0002,2026-05-30,new,,
LD000306,CMP0002,2026-05-31,lost,,2026-07-06
LD000307,CMP0002,2026-05-31,new,,
LD000308,CMP0003,2026-03-16,New,,
LD000309,CMP0003,2026-03-17,LOST,,2026-03-29
LD000310,CMP0003,2026-03-18,LOST,,2026-03-29
LD000311,CMP0003,2026-03-20,Qualified,,
LD000312,CMP0003,2026-03-22,lost,,2026-03-29
LD000313,CMP0003,2026-03-22,Qualified,,
LD000314,CMP0003,2026-03-22,qualified,,
LD000315,CMP0003,2026-03-23,New,,
LD000316,CMP0003,2026-03-26,Qualified,,
LD000317,CMP0003,2026-03-27,LOST,,2026-04-13
LD000318,CMP0003,2026-03-31,Qualified,,
LD000319,CMP0003,2026-04-01,lost,,2026-04-09
LD000320,CMP0003,2026-04-01,Proposal,,
LD000321,CMP0003,2026-04-01,New,,
LD000322,CMP0003,2026-04-02,New,,
LD000323,CMP0003,2026-04-04,LOST,,2026-04-23
LD000324,CMP0003,2026-04-07,LOST,,2026-04-17
LD000325,CMP0003,2026-04-08,lost,,2026-05-03
LD000326,CMP0003,2026-04-08,NEW ,,
LD000327,CMP0003,2026-04-10,NEW ,,
LD000328,CMP0003,2026-04-13,New,,
LD000329,CMP0003,2026-04-14,New,,
LD000330,CMP0003,2026-04-14,New,,
LD000331,CMP0003,2026-04-17,new,,
LD000332,CMP0003,2026-04-17,qualified,,
LD000333,CMP0003,2026-04-18,NEW ,,
LD000334,CMP0003,2026-04-18,Proposal,,
LD000335,CMP0003,2026-04-22,New,,
LD000336,CMP0003,2026-04-22,new,,
LD000337,CMP0003,2026-04-22,Qualified,,
LD000338,CMP0003,2026-04-29,qualified,,
LD000339,CMP0003,2026-04-30,LOST,,2026-05-12
LD000340,CMP0003,2026-05-04,Qualified,,
LD000341,CMP0003,2026-05-05,lost,,2026-05-14
LD000342,CMP0003,2026-05-06,New,,
LD000343,CMP0003,2026-05-06,new,,
LD000344,CMP0003,2026-05-08,new,,
LD000345,CMP0003,2026-05-09,proposal ,,
LD000346,CMP0003,2026-05-09,LOST,,2026-05-26
LD000347,CMP0003,2026-05-10,Qualified,,
LD000348,CMP0003,2026-05-11,NEW ,,
LD000349,CMP0003,2026-05-11,New,,
LD000350,CMP0003,2026-05-11,LOST,,2026-06-20
LD000351,CMP0003,2026-05-12,NEW ,,
LD000352,CMP0003,2026-05-13,Lost,,2026-06-14
LD000353,CMP0003,2026-05-13,NEW ,,
LD000354,CMP0003,2026-05-13,New,,
LD000355,CMP0003,2026-05-16,New,,
LD000356,CMP0003,2026-05-16,New,,
LD000357,CMP0003,2026-05-22,Qualified,,
LD000358,CMP0003,2026-05-24,LOST,,2026-07-06
LD000359,CMP0003,2026-05-25,lost,,2026-06-23
LD000360,CMP0003,2026-05-27,lost,,2026-06-29
LD000361,CMP0003,2026-05-28,New,,
LD000362,CMP0003,2026-05-29,LOST,,2026-06-14
LD000363,CMP0003,2026-06-01,new,,
LD000364,CMP0003,2026-06-01,Qualified,,
LD000365,CMP0003,2026-06-02,New,,
LD000366,CMP0003,2026-06-03,qualified,,
LD000367,CMP0003,2026-06-06,qualified,,
LD000368,CMP0003,2026-06-09,New,,
LD000369,CMP0003,2026-06-09,Qualified,,
LD000370,CMP0003,2026-06-09,NEW ,,
LD000371,CMP0003,2026-06-12,LOST,,2026-06-27
LD000372,CMP0003,2026-06-12,Lost,,2026-06-25
LD000373,CMP0003,2026-06-12,lost,,2026-06-29
LD000374,CMP0003,2026-06-12,LOST,,2026-07-06
LD000375,CMP0003,2026-06-13,LOST,,2026-07-25
LD000376,CMP0003,2026-06-16,NEW ,,
LD000377,CMP0003,2026-06-17,LOST,,2026-07-21
LD000378,CMP0003,2026-06-17,Qualified,,
LD000379,CMP0003,2026-06-17,New,,
LD000380,CMP0003,2026-06-18,Lost,,2026-07-15
LD000381,CMP0003,2026-06-18,qualified,,
LD000382,CMP0003,2026-06-18,LOST,,2026-07-14
LD000383,CMP0003,2026-06-19,Lost,,2026-07-29
LD000384,CMP0003,2026-06-22,new,,
LD000385,CMP0003,2026-06-24,Lost,,2026-07-29
LD000386,CMP0003,2026-06-26,LOST,,2026-07-06
LD000387,CMP0003,2026-06-29,NEW ,,
LD000388,CMP0003,2026-07-03,NEW ,,
LD000389,CMP0003,2026-07-04,qualified,,
LD000390,CMP0003,2026-07-04,Qualified,,
LD000391,CMP0003,2026-07-06,qualified,,
LD000392,CMP0003,2026-07-07,Qualified,,
LD000393,CMP0003,2026-07-07,Proposal,,
LD000394,CMP0003,2026-07-07,New,,
LD000395,CMP0003,2026-07-09,Qualified,,
LD000396,CMP0003,2026-07-10,Qualified,,
LD000397,CMP0003,2026-07-11,qualified,,
LD000398,CMP0003,2026-07-12,Qualified,,
LD000399,CMP0003,2026-07-13,proposal ,,
LD000400,CMP0003,2026-07-15,New,,
LD000401,CMP0003,2026-07-15,new,,
LD000402,CMP0003,2026-07-17,Qualified,,
LD000403,CMP0003,2026-07-18,new,,
LD000404,CMP0003,2026-07-21,new,,
LD000405,CMP0003,2026-07-22,Qualified,,
LD000406,CMP0003,2026-07-22,proposal ,,
LD000407,CMP0003,2026-07-24,Proposal,,
LD000408,CMP0003,2026-07-28,Qualified,,
LD000409,CMP0003,2026-07-31,Qualified,,
LD000410,CMP0003,2026-08-02,qualified,,
LD000411,CMP0003,2026-08-03,qualified,,
LD000412,CMP0003,2026-08-04,Qualified,,
LD000413,CMP0003,2026-08-05,Qualified,,
LD000414,CMP0003,2026-08-06,Proposal,,
LD000415,CMP0003,2026-08-07,new,,
LD000416,CMP0003,2026-08-13,NEW ,,
LD000417,CMP0003,2026-08-14,Qualified,,
LD000418,CMP0003,2026-08-15,qualified,,
LD000419,CMP0003,2026-08-15,NEW ,,
LD000420,CMP0003,2026-08-17,Qualified,,
LD000421,CMP0003,2026-08-17,NEW ,,
LD000422,CMP0003,2026-08-17,Qualified,,
LD000423,CMP0003,2026-08-20,Qualified,,
LD000424,CMP0003,2026-08-22,new,,
LD000425,CMP0003,2026-08-22,qualified,,
LD000426,CMP0003,2026-08-22,qualified,,
LD000427,CMP0003,2026-08-25,qualified,,
LD000428,CMP0003,2026-08-26,Qualified,,
LD000429,CMP0003,2026-08-26,Qualified,,
LD000430,CMP0003,2026-08-27,NEW ,,
LD000431,CMP0004,2026-04-17,new,,
LD000432,CMP0004,2026-04-17,new,,
LD000433,CMP0004,2026-04-17,Proposal,,
LD000434,CMP0004,2026-04-17,New,,
LD000435,CMP0004,2026-04-18,Proposal,,
LD000436,CMP0004,2026-04-19,lost,,2026-04-27
LD000437,CMP0004,2026-04-19,LOST,,2026-05-29
LD000438,CMP0004,2026-04-19,lost,,2026-05-19
LD000439,CMP0004,2026-04-20,LOST,,2026-05-22
LD000440,CMP0004,2026-04-21,NEW ,,
LD000441,CMP0004,2026-04-22,new,,
LD000442,CMP0004,2026-04-22,Qualified,,
LD000443,CMP0004,2026-04-22,qualified,,
LD000444,CMP0004,2026-04-24,Qualified,,
LD000445,CMP0004,2026-04-25,new,,
LD000446,CMP0004,2026-04-26,qualified,,
LD000447,CMP0004,2026-04-27,new,,
LD000448,CMP0004,2026-04-27,new,,
LD000449,CMP0004,2026-04-27,Qualified,,
LD000450,CMP0004,2026-04-29,qualified,,
LD000451,CMP0004,2026-04-29,lost,,2026-05-06
LD000452,CMP0004,2026-05-01,NEW ,,
LD000453,CMP0004,2026-05-01,WON,1609800.0,2026-06-14
LD000454,CMP0004,2026-05-01,Qualified,,
LD000455,CMP0004,2026-05-02,LOST,,2026-05-24
LD000456,CMP0004,2026-05-02,Lost,,2026-05-22
LD000457,CMP0004,2026-05-02,proposal ,,
LD000458,CMP0004,2026-05-03,qualified,,
LD000459,CMP0004,2026-05-04,LOST,,2026-06-09
LD000460,CMP0004,2026-05-04,NEW ,,
LD000461,CMP0004,2026-05-06,LOST,,2026-05-20
LD000462,CMP0004,2026-05-06,New,,
LD000463,CMP0004,2026-05-06,Qualified,,
LD000464,CMP0004,2026-05-07,lost,,2026-05-29
LD000465,CMP0004,2026-05-07,LOST,,2026-06-14
LD000466,CMP0004,2026-05-08,New,,
LD000467,CMP0004,2026-05-08,lost,,2026-06-12
LD000468,CMP0004,2026-05-09,Qualified,,
LD000469,CMP0004,2026-05-11,qualified,,
LD000470,CMP0004,2026-05-12,New,,
LD000471,CMP0004,2026-05-12,New,,
LD000472,CMP0004,2026-05-13,NEW ,,
LD000473,CMP0004,2026-05-14,NEW ,,
LD000474,CMP0004,2026-05-15,proposal ,,
LD000475,CMP0004,2026-05-15,qualified,,
LD000476,CMP0004,2026-05-15,NEW ,,
LD000477,CMP0004,2026-05-15,New,,
LD000478,CMP0004,2026-05-15,lost,,2026-06-14
LD000479,CMP0004,2026-05-16,Qualified,,
LD000480,CMP0004,2026-05-16,New,,
LD000481,CMP0004,2026-05-17,lost,,2026-06-23
LD000482,CMP0004,2026-05-17,New,,
LD000483,CMP0004,2026-05-18,Proposal,,
LD000484,CMP0004,2026-05-18,Proposal,,
LD000485,CMP0004,2026-05-19,Qualified,,
LD000486,CMP0004,2026-05-19,WON,956500.0,2026-06-13
LD000487,CMP0004,2026-05-20,NEW ,,
LD000488,CMP0004,2026-05-22,Lost,,2026-06-03
LD000489,CMP0004,2026-05-22,NEW ,,
LD000490,CMP0004,2026-05-23,new,,
LD000491,CMP0004,2026-05-24,lost,,2026-06-15
LD000492,CMP0004,2026-05-24,lost,,2026-06-29
LD000493,CMP0004,2026-05-27,Qualified,,
LD000494,CMP0004,2026-05-27,New,,
LD000495,CMP0004,2026-05-27,Qualified,,
LD000496,CMP0004,2026-05-27,lost,,2026-07-03
LD000497,CMP0004,2026-05-28,lost,,2026-06-05
LD000498,CMP0004,2026-05-28,LOST,,2026-06-05
LD000499,CMP0004,2026-05-28,lost,,2026-06-11
LD000500,CMP0004,2026-05-28,qualified,,
LD000501,CMP0004,2026-05-28,qualified,,
LD000502,CMP0004,2026-05-28,Qualified,,
LD000503,CMP0004,2026-05-29,new,,
LD000504,CMP0004,2026-05-29,Qualified,,
LD000505,CMP0004,2026-05-31,proposal ,,
LD000506,CMP0004,2026-06-01,NEW ,,
LD000507,CMP0004,2026-06-01,new,,
LD000508,CMP0004,2026-06-01,New,,
LD000509,CMP0004,2026-06-01,New,,
LD000510,CMP0004,2026-06-03,Qualified,,
LD000511,CMP0004,2026-06-03,Lost,,2026-07-12
LD000512,CMP0004,2026-06-03,NEW ,,
LD000513,CMP0004,2026-06-03,qualified,,
LD000514,CMP0004,2026-06-03,qualified,,
LD000515,CMP0004,2026-06-04,Qualified,,
LD000516,CMP0004,2026-06-04,Proposal,,
LD000517,CMP0004,2026-06-04,lost,,2026-07-12
LD000518,CMP0004,2026-06-04,Lost,,2026-07-12
LD000519,CMP0004,2026-06-05,qualified,,
LD000520,CMP0004,2026-06-05,qualified,,
LD000521,CMP0004,2026-06-06,lost,,2026-06-30
LD000522,CMP0004,2026-06-09,new,,
LD000523,CMP0004,2026-06-09,NEW ,,
LD000524,CMP0004,2026-06-10,New,,
LD000525,CMP0004,2026-06-10,qualified,,
LD000526,CMP0004,2026-06-10,Qualified,,
LD000527,CMP0004,2026-06-11,Proposal,,
LD000528,CMP0004,2026-06-11,Lost,,2026-06-29
LD000529,CMP0004,2026-06-12,LOST,,2026-07-07
LD000530,CMP0004,2026-06-13,New,,
LD000531,CMP0004,2026-06-14,new,,
LD000532,CMP0004,2026-06-14,Lost,,2026-07-13
LD000533,CMP0004,2026-06-15,new,,
LD000534,CMP0004,2026-06-15,lost,,2026-07-13
LD000535,CMP0004,2026-06-15,new,,
LD000536,CMP0004,2026-06-16,new,,
LD000537,CMP0004,2026-06-16,qualified,,
LD000538,CMP0004,2026-06-17,Qualified,,
LD000539,CMP0004,2026-06-17,LOST,,2026-07-31
LD000540,CMP0004,2026-06-18,Qualified,,
LD000541,CMP0004,2026-06-19,Lost,,2026-06-27
LD000542,CMP0004,2026-06-19,NEW ,,
LD000543,CMP0004,2026-06-19,lost,,2026-07-03
LD000544,CMP0004,2026-06-20,qualified,,
LD000545,CMP0004,2026-06-21,LOST,,2026-07-17
LD000546,CMP0004,2026-06-23,new,,
LD000547,CMP0004,2026-06-23,qualified,,
