campaign_id,report_date,impressions,clicks,spend_zar
CMP0017,2026-04-10,11161,257,2972.19
CMP0017,2026-04-04,10037,181,2235.86
CMP0026,2026-03-28,2096,38,570.87
CMP0003,2026-07-24,5799,39,3047.93
CMP0013,2026-03-03,29044,357,2890.11
CMP0024,2025-12-31,7992,159,2871.01
CMP0004,2026-04-18,531,29,708.05
CMP0028,2026-03-01,2408,102,2291.71
CMP0020,2026-01-14,1054,48,1178.47
CMP0005,2026-07-02,26274,208,1864.51
CMP0002,2026-04-17,2797,2843,2725.05
CMP0028,2026-03-15,1835,101,2384.96
CMP0021,2026-06-20,3181,20,903.66
CMP0026,2026-07-11,1536,30,535.71
CMP0002,2026-04-20,3760,130,2945.4
CMP0022,2026-04-17,7520,125,1259.53
CMP0004,2026-07-13,1615,67,952.72
CMP0016,2025-12-30,3475,125,1928.07
CMP0014,2026-05-26,16279,134,1064.97
CMP0012,2026-03-10,1774,85,1213.13
CMP0019,2026-01-20,23052,279,2053.56
CMP0027,2026-01-03,4911,31,1514.93
CMP0003,2026-05-03,3564,19,1943.61
CMP0028,2026-06-08,2553,126,3205.8
CMP0016,2026-02-24,3739,123,1731.84
CMP0010,2026-05-20,2116,99,2107.0
CMP0020,2025-12-30,1132,50,1218.63
CMP0020,2025-11-29,1042,54,902.94
CMP0023,2025-12-17,1045,49,836.6
CMP0032,2025-12-15,4186,91,1627.73
CMP0021,2026-06-12,5393,30,1184.06
CMP0020,2025-12-19,1002,60,1207.46
CMP0027,2026-03-12,6683,35,2375.84
CMP0029,2026-01-22,9606,119,1022.5
CMP0009,2026-01-19,22489,242,1789.27
CMP0021,2026-06-15,4052,26,1439.65
CMP0020,2025-12-24,1133,58,1180.92
CMP0032,2026-01-29,4816,94,1599.76
CMP0001,2026-08-10,2911,49,693.35
CMP0011,2026-01-22,1827,1838,1195.85
CMP0020,2025-11-12,810,48,1330.75
CMP0016,2026-03-24,3566,138,2152.78
CMP0029,2026-01-02,7883,106,922.58
CMP0025,2026-01-27,19526,272,2292.37
CMP0008,2026-03-04,32356,296,2121.25
CMP0028,2026-07-13,1599,95,2799.73
CMP0014,2026-05-14,15952,147,1197.56
CMP0003,2026-07-07,5156,35,2584.29
CMP0029,2026-02-12,9138,106,1041.32
CMP0011,2026-05-10,1152,44,970.52
CMP0029,2026-01-06,7691,97,1001.03
CMP0005,2026-05-30,12234,119,1113.4
CMP0025,2025-12-13,15281,204,1593.94
CMP0027,2025-12-20,5876,35,1881.4
CMP0010,2026-06-16,2457,106,2283.41
CMP0001,2026-04-27,2024,37,720.13
CMP0027,2026-05-17,4661,24,1631.85
CMP0001,2026-06-14,1365,24,590.04
CMP0007,2026-02-12,9026,97,1113.44
CMP0011,2026-05-03,1169,46,939.71
CMP0011,2026-05-04,2208,76,1537.47
CMP0021,2026-05-12,3307,21,1257.67
CMP0008,2026-03-24,29049,296,2106.66
CMP0012,2026-02-23,2191,78,1290.29
CMP0011,2026-03-12,1633,77,1543.23
CMP0029,2026-02-21,6762,78,703.66
CMP0015,2026-04-05,35800,361,2625.94
CMP0016,2025-12-04,3654,149,2192.94
CMP0001,2026-04-22,2149,44,695.14
CMP0021,2026-06-19,5893,33,1407.33
CMP0001,2026-05-09,1972,34,518.03
CMP0017,2026-01-06,14154,259,3123.97
CMP0028,2026-05-11,2796,127,2856.45
CMP0021,2026-07-28,3916,22,1269.17
CMP0011,2026-05-25,2344,83,1335.46
CMP0006,2026-04-04,30446,283,2265.25
CMP0015,2026-05-13,29985,357,2912.06
CMP0017,2026-02-27,14524,276,3232.87
CMP0029,2026-03-07,5964,78,691.71
CMP0017,2026-03-26,11864,274,3123.35
CMP0017,2026-05-03,10896,178,2026.13
CMP0025,2026-02-07,14848,202,1560.75
CMP0017,2026-04-25,12227,220,2349.06
CMP0017,2026-01-16,14253,250,3176.16
CMP0009,2026-01-20,20587,251,1726.95
CMP0031,2026-03-22,9267,131,1171.3
CMP0018,2026-06-24,8430,54,2781.82
CMP0003,2026-04-03,7144,38,2786.84
CMP0027,2026-04-24,6887,42,2488.28
CMP0029,2026-02-06,7242,94,934.25
CMP0005,2026-07-16,20212,214,1709.87
CMP0007,2026-02-28,8594,94,959.25
CMP0029,2026-01-01,8506,110,1070.13
CMP0030,2026-01-28,18052,207,1802.67
CMP0033,2026-04-11,3378,71,1013.44
CMP0032,2025-12-21,3119,74,1256.15
CMP0022,2026-05-21,5455,100,1341.41
CMP0019,2026-01-05,22954,268,1984.71
CMP0006,2026-01-20,44018,404,2786.82
CMP0003,2026-05-16,4335,27,1950.85
CMP0019,2026-02-18,22959,265,2015.91
CMP0014,2026-04-14,16938,155,1187.54
CMP0031,2026-07-05,10514,129,979.58
CMP0005,2026-01-18,15226,149,1347.23
CMP0015,2026-03-17,34836,419,3036.42
CMP0023,2026-03-17,1150,38,778.5
CMP0024,2026-03-31,9397,213,3403.42
CMP0004,2026-05-07,1223,55,994.61
CMP0010,2026-05-27,1674,89,2459.2
CMP0028,2026-02-18,2308,117,2885.51
CMP0029,2026-05-13,9230,99,948.18
CMP0027,2026-02-22,4640,26,1555.96
CMP0020,2025-10-29,1127,52,1294.34
CMP0028,2026-01-21,2541,128,3237.2
CMP0030,2026-01-19,20110,198,1668.19
CMP0025,2025-11-26,20361,271,2096.0
CMP0011,2026-01-20,1378,65,1194.47
CMP0011,2026-05-08,2244,80,1360.94
CMP0030,2026-01-26,13882,147,1609.6
CMP0015,2026-04-24,31849,385,2834.67
CMP0011,2026-03-03,1294,52,1198.71
CMP0021,2026-05-08,5626,29,1234.08
CMP0008,2026-07-17,30834,302,2167.91
CMP0021,2026-03-25,4429,31,1286.85
CMP0008,2026-02-21,26745,231,1607.29
CMP0004,2026-05-14,666,715,870.99
CMP0012,2026-01-27,1701,71,1108.94
CMP0027,2026-04-28,6417,43,2518.86
CMP0014,2026-03-10,16015,156,1148.17
CMP0012,2026-03-12,2741,95,1329.35
CMP0008,2026-04-27,40025,357,2326.92
CMP0026,2026-06-02,3105,52,763.56
CMP0029,2026-03-09,7690,109,966.52
CMP0030,2026-01-14,11943,164,1639.37
CMP0011,2026-03-04,2741,95,1536.02
CMP0005,2026-05-09,19134,163,1367.32
CMP0018,2026-02-21,7549,41,1939.28
CMP0008,2026-02-05,32646,320,2383.27
CMP0004,2026-04-22,1195,53,898.77
CMP0011,2026-04-28,1870,80,1530.66
CMP0030,2025-12-09,15856,194,1795.86
CMP0023,2025-12-20,1025,34,536.19
CMP0021,2026-07-03,5117,28,1291.57
CMP0003,2026-05-23,6365,33,2270.63
CMP0019,2026-01-13,23513,280,1983.88
CMP0006,2026-01-11,33600,267,2147.38
CMP0012,2026-01-18,1646,55,847.74
CMP0009,2026-03-13,18204,250,1915.09
CMP0001,2026-05-28,2875,58,786.68
CMP0028,2026-04-01,2072,110,2972.89
CMP0030,2026-01-04,8699,125,1079.35
CMP0010,2026-04-10,1628,91,2167.62
CMP0014,2026-07-03,14105,127,1078.14
CMP0025,2025-11-15,21644,208,1681.61
CMP0015,2026-05-06,38431,516,3373.11
CMP0005,2026-05-05,22374,238,1735.36
CMP0027,2025-12-14,3726,24,1485.24
CMP0031,2026-06-12,17224,182,1363.09
CMP0032,2026-02-23,3797,89,1610.09
CMP0008,2026-06-13,27738,292,1819.46
CMP0003,2026-07-09,7924,42,2924.84
CMP0014,2026-04-19,14016,126,914.41
CMP0014,2026-03-01,12780,134,947.49
CMP0023,2026-01-25,492,23,579.18
CMP0014,2026-01-25,9522,107,852.79
CMP0016,2026-04-03,3413,133,2080.22
CMP0017,2026-05-06,13121,287,2962.39
CMP0031,2026-04-24,21001,204,1463.49
CMP0019,2025-11-23,18008,207,1428.97
CMP0025,2026-02-18,22928,300,2102.46
CMP0019,2026-01-17,21852,223,1520.9
CMP0026,2026-07-05,1450,30,507.53
CMP0028,2026-02-06,2321,121,3103.8
CMP0001,2026-03-26,2795,46,684.87
CMP0019,2026-02-17,21182,290,2092.13
CMP0023,2026-03-18,906,34,803.3
CMP0009,2026-03-20,19122,258,1730.32
CMP0009,2026-01-27,23246,262,1826.13
CMP0022,2026-07-09,5905,107,1234.2
CMP0029,2026-06-18,6603,92,985.94
CMP0018,2026-03-29,4674,31,1837.02
CMP0033,2026-06-08,5199,105,1358.29
CMP0012,2025-12-14,1812,60,812.88
CMP0005,2026-06-12,20621,199,1789.88
CMP0024,2025-11-15,5793,128,2184.1
CMP0001,2026-06-21,1372,29,538.8
CMP0029,2026-05-06,8422,93,889.63
CMP0016,2026-04-02,3172,140,1949.06
CMP0005,2026-02-14,13621,126,1183.63
CMP0001,2026-05-29,1368,32,649.74
CMP0021,2026-08-13,3942,20,1427.17
CMP0030,2026-04-08,11669,166,1647.88
CMP0011,2026-01-08,1555,61,1333.94
CMP0025,2025-12-26,25825,343,2565.19
CMP0030,2026-04-25,9650,116,1190.12
CMP0018,2026-05-09,5620,35,1816.87
CMP0031,2026-06-17,14101,173,1520.37
CMP0028,2026-03-11,1725,100,2972.09
CMP0002,2026-05-08,4319,144,3210.73
CMP0021,2026-04-13,4260,28,1470.25
CMP0031,2026-04-01,14689,198,1616.14
CMP0014,2026-05-25,13048,127,1155.3
CMP0021,2026-07-12,4806,27,1088.97
CMP0020,2025-12-18,1521,66,1295.09
CMP0003,2026-08-28,4724,33,2778.27
CMP0005,2026-05-31,20808,168,1260.15
CMP0004,2026-06-04,1192,48,919.55
CMP0029,2026-03-28,5634,73,710.54
CMP0008,2026-01-11,27794,27838,2018.04
CMP0030,2025-12-20,14089,149,1270.05
CMP0008,2026-05-14,43789,411,2458.15
CMP0004,2026-05-20,990,45,1029.79
CMP0021,2026-07-24,5034,32,1492.19
CMP0004,2026-07-11,660,35,678.26
CMP0020,2026-01-17,837,41,870.24
CMP0013,2026-02-16,25460,332,2707.45
CMP0031,2026-04-09,15682,186,1356.12
CMP0022,2026-05-22,6708,104,1367.99
CMP0024,2025-11-29,7746,132,2521.25
CMP0022,2026-06-19,8346,115,1315.79
CMP0012,2026-03-04,1960,71,1075.54
CMP0017,2026-02-12,14271,236,3056.78
CMP0004,2026-05-10,640,31,716.01
CMP0008,2026-07-06,43632,346,2385.24
CMP0012,2026-03-22,960,46,816.03
CMP0031,2026-03-31,17823,211,1638.29
CMP0004,2026-05-05,624,31,1040.03
CMP0001,2026-08-08,2170,38,558.03
CMP0018,2026-03-21,4925,35,1649.27
CMP0005,2026-04-23,17464,183,1540.65
CMP0017,2026-03-09,11421,229,2615.91
CMP0021,2026-08-16,2216,14,880.87
CMP0006,2026-02-21,33590,368,2547.59
CMP0011,2026-02-10,1477,58,1318.09
CMP0012,2026-01-30,2178,73,1231.43
CMP0014,2026-01-18,10942,92,815.79
CMP0007,2026-01-14,7218,82,1073.86
CMP0029,2026-06-25,7830,108,1080.75
CMP0031,2026-04-12,11998,144,1183.07
CMP0030,2026-05-28,14342,177,1653.54
CMP0015,2026-03-29,33404,329,2631.5
CMP0018,2026-02-05,8979,50,2678.13
CMP0005,2026-04-14,18759,159,1461.38
CMP0003,2026-03-14,4206,28,1918.78
CMP0020,2025-10-15,1023,51,1235.96
CMP0003,2026-05-13,5030,35,2966.48
CMP0008,2026-04-24,44161,391,2591.99
CMP0030,2026-03-22,13672,137,1247.14
CMP0032,2026-02-01,3701,64,1099.23
CMP0029,2026-04-01,7482,103,904.15
CMP0029,2026-01-23,10489,103,902.38
CMP0033,2026-04-27,5834,99,1425.61
CMP0028,2026-03-22,1595,83,2059.49
CMP0030,2025-12-12,15505,189,1733.88
CMP0007,2026-02-11,6422,88,1077.75
CMP0030,2026-04-03,14577,151,1419.74
CMP0018,2026-06-21,9191,49,2035.29
CMP0023,2026-02-19,693,29,745.09
CMP0030,2026-05-07,15169,170,1708.02
CMP0003,2026-06-27,6768,42,2342.52
CMP0011,2026-01-11,1186,56,1154.77
CMP0022,2026-04-12,3459,64,838.77
CMP0023,2025-12-16,1286,43,706.54
CMP0014,2026-03-27,13603,148,1247.25
CMP0024,2025-12-09,7770,130,2819.42
CMP0033,2026-03-31,5000,92,1358.38
CMP0029,2026-06-27,6966,78,803.16
CMP0017,2026-03-14,11218,191,2066.75
CMP0026,2026-06-14,2440,40,503.68
CMP0024,2025-12-19,9154,162,2641.9
CMP0028,2026-03-31,1769,95,2568.31
CMP0009,2025-12-18,21671,241,1873.18
CMP0003,2026-07-15,5760,39,2876.81
CMP0023,2026-03-10,1141,43,824.56
CMP0018,2026-05-21,8367,59,2610.53
CMP0004,2026-06-03,1017,45,1048.75
CMP0032,2025-12-30,5014,84,1594.96
CMP0009,2026-01-29,24392,266,1711.78
CMP0026,2026-05-20,2372,50,823.65
CMP0023,2026-04-03,1240,46,884.56
CMP0028,2026-01-01,2168,98,2532.05
CMP0010,2026-06-14,1151,65,1870.02
CMP0009,2026-02-19,24065,239,1693.42
CMP0011,2026-02-21,1543,65,1126.86
CMP0033,2026-03-23,5380,112,1600.94
CMP0030,2026-04-28,13081,154,1426.27
CMP0022,2026-06-09,7807,115,1390.21
CMP0005,2026-04-01,20771,176,1513.22
CMP0014,2026-03-07,10442,113,855.6
CMP0028,2025-12-23,1864,109,2773.36
CMP0017,2026-05-08,14706,245,3128.36
CMP0032,2025-11-18,4130,87,1452.4
CMP0012,2026-02-09,1855,64,1073.28
CMP0023,2025-12-18,1313,45,770.07
CMP0025,2026-01-13,24307,247,2239.39
CMP0030,2025-12-15,16761,174,1448.94
CMP0008,2026-03-28,25571,25615,2013.34
CMP0009,2025-12-28,19516,224,1543.5
CMP0011,2026-03-20,1507,59,1207.58
CMP0030,2026-01-02,14468,180,1735.17
CMP0019,2025-12-31,20942,283,2247.07
CMP0003,2026-06-23,5012,35,2669.41
CMP0030,2025-12-21,10021,128,1206.15
CMP0005,2026-01-20,19850,182,1536.1
CMP0019,2025-11-30,19970,216,1585.89
CMP0003,2026-08-25,7898,47,2941.37
CMP0004,2026-06-30,1043,46,921.66
CMP0030,2026-05-25,18427,184,1720.5
CMP0031,2026-06-18,14734,157,1431.05
CMP0009,2025-12-21,14997,188,1392.67
CMP0012,2025-12-15,1689,55,1031.12
CMP0024,2026-02-06,7741,176,3091.72
CMP0021,2026-08-21,5173,28,1327.5
CMP0028,2026-01-24,2045,91,2206.33
CMP0027,2026-01-11,5289,26,1701.28
CMP0005,2026-01-12,23618,233,1818.3
CMP0030,2026-01-29,16651,180,1547.71
CMP0005,2026-03-07,18526,160,1388.53
CMP0015,2026-02-11,31132,419,3127.35
CMP0028,2026-04-25,1685,70,1908.75
CMP0012,2026-01-23,1922,79,1193.86
CMP0019,2026-03-16,31313,334,2324.32
CMP0026,2026-05-12,2316,55,812.47
CMP0024,2026-02-16,9320,159,2871.33
CMP0029,2026-07-09,9758,105,1016.65
CMP0024,2026-01-23,9160,172,3357.95
CMP0022,2026-06-04,5809,107,1177.72
CMP0028,2026-07-04,1932,91,2269.34
CMP0024,2026-01-28,6632,145,2974.9
CMP0020,2025-11-28,1121,65,1435.15
CMP0023,2026-01-19,1344,48,783.66
CMP0001,2026-07-09,2053,43,642.0
CMP0001,2026-06-15,1876,44,686.39
CMP0001,2026-03-23,2033,42,705.92
CMP0005,2026-03-17,17592,192,1649.02
CMP0023,2026-01-04,686,29,620.86
CMP0005,2026-04-28,20460,218,1834.51
CMP0001,2026-05-01,2580,44,653.43
CMP0021,2026-04-30,3198,23,1285.3
CMP0028,2026-04-06,2543,121,3253.91
CMP0023,2026-02-12,725,31,864.43
CMP0007,2026-02-15,7576,84,888.72
CMP0022,2026-07-25,4782,84,983.02
CMP0010,2026-06-22,1492,87,2012.12
CMP0025,2026-02-02,27675,303,2410.78
CMP0014,2026-02-22,15943,124,945.81
CMP0008,2026-01-31,24250,259,1841.58
CMP0017,2026-04-21,9787,228,2713.7
CMP0001,2026-04-19,2219,47,548.39
CMP0015,2026-05-08,38279,385,2788.4
CMP0033,2026-06-29,4142,94,1344.22
CMP0005,2026-04-12,19473,154,1246.7
CMP0017,2026-02-11,12137,273,3058.95
CMP0022,2026-07-04,5605,105,1023.19
CMP0013,2026-03-16,29221,352,2908.13
CMP0030,2026-02-07,9773,106,1059.05
CMP0018,2026-06-08,8444,53,2565.83
CMP0005,2026-02-16,20225,221,1715.03
CMP0029,2026-04-26,5113,72,765.75
CMP0033,2026-07-22,4539,93,1390.74
CMP0014,2026-03-09,15376,170,1236.58
CMP0012,2025-11-16,1462,63,923.64
CMP0027,2026-03-15,3675,26,1597.29
CMP0005,2026-07-07,20175,210,1592.43
CMP0001,2026-07-15,1939,33,691.88
CMP0011,2026-05-12,2096,70,1505.81
CMP0030,2026-04-18,11675,145,1363.44
CMP0023,2025-11-21,1414,53,894.83
CMP0018,2026-05-17,5631,38,1731.85
CMP0030,2026-05-06,12344,163,1553.43
CMP0025,2025-12-23,26160,336,2493.15
CMP0033,2026-07-10,4568,107,1564.22
CMP0031,2026-07-11,11897,164,1231.01
CMP0020,2025-12-06,788,46,952.1
CMP0011,2026-03-14,1444,62,1151.34
CMP0018,2026-06-10,8337,52,2357.52
CMP0007,2026-02-13,8307,119,1194.72
CMP0015,2026-05-05,41580,505,3381.75
CMP0010,2026-06-05,1940,101,2546.37
CMP0028,2026-07-05,1435,74,1939.31
CMP0019,2026-03-05,22314,306,2285.44
CMP0001,2026-02-05,2157,50,807.2
CMP0008,2026-03-07,31289,270,1811.67
CMP0019,2026-03-07,14197,196,1450.2
CMP0020,2026-01-15,1110,55,1295.65
CMP0018,2026-03-20,7801,45,2212.91
CMP0014,2026-05-21,17241,153,1181.25
CMP0024,2026-01-27,6571,141,2808.32
CMP0033,2026-04-20,4639,98,1658.04
CMP0030,2025-12-13,10250,106,1060.82
CMP0016,2026-03-18,3066,136,1999.67
CMP0008,2026-07-16,30734,335,2296.58
CMP0023,2026-01-15,931,39,798.44
CMP0033,2026-07-20,5679,99,1341.69
CMP0001,2026-03-12,2450,41,799.14
CMP0023,2026-01-02,1050,35,776.48
CMP0009,2026-01-02,23223,282,1977.2
CMP0027,2026-04-13,5522,34,2289.56
CMP0025,2026-01-07,21767,257,2080.24
CMP0004,2026-08-10,721,40,853.08
CMP0004,2026-08-02,927,44,787.16
CMP0021,2026-08-25,4297,28,1259.26
CMP0011,2026-02-09,1515,65,1499.16
CMP0012,2025-12-05,2321,93,1058.06
CMP0025,2025-11-23,19073,247,1848.3
CMP0006,2026-02-11,40830,402,3050.74
CMP0001,2026-06-30,2516,51,670.15
CMP0023,2026-02-04,576,27,734.24
CMP0021,2026-07-10,5471,29,1389.02
CMP0028,2026-07-23,2957,123,3077.89
CMP0003,2026-06-29,8091,41,2653.08
CMP0024,2025-11-27,7015,149,3101.22
CMP0018,2026-05-04,10013,52,2582.4
CMP0021,2026-05-05,6956,35,1371.91
CMP0008,2026-05-17,23962,267,1987.37
CMP0030,2026-05-03,13378,142,1353.97
CMP0014,2026-03-26,15005,123,1034.93
CMP0023,2026-03-05,969,40,893.87
CMP0018,2026-03-23,9667,54,2487.17
CMP0014,2026-04-30,13266,128,1018.92
CMP0001,2026-04-14,2840,52,713.02
CMP0026,2026-04-26,1887,33,503.38
CMP0001,2026-04-04,1548,33,492.14
CMP0009,2026-01-05,19998,275,1851.31
CMP0032,2026-01-24,2937,58,1125.35
CMP0005,2026-01-29,21527,179,1539.24
CMP0024,2025-11-12,5918,138,2788.47
CMP0009,2026-02-18,18487,260,2012.9
CMP0014,2026-06-02,17391,194,1212.79
CMP0028,2026-06-13,1667,81,1978.33
CMP0024,2025-11-08,7420,159,2425.28
CMP0029,2026-07-08,8163,93,1073.88
CMP0029,2026-05-10,7934,83,651.3
CMP0021,2026-07-01,4761,25,1436.36
CMP0031,2026-08-05,12625,156,1502.71
CMP0008,2026-01-23,29051,310,2133.03
CMP0018,2026-06-15,11889,58,2689.12
CMP0014,2026-02-09,14442,160,1238.76
CMP0026,2026-06-06,1715,33,492.14
CMP0028,2026-01-11,1885,98,2416.82
CMP0013,2026-03-15,26400,275,2377.03
CMP0007,2026-02-07,8213,84,875.48
CMP0005,2026-04-22,25764,223,1807.64
CMP0021,2026-05-11,4918,24,1244.4
CMP0032,2025-11-11,3989,80,1437.81
